#{"t_start": 1776329272.3720527, "env_id": "None"}
r,l,t
-50.55762,26,1453.491408
-65.612656,38,1453.744825
-42.583185,21,1453.877352
-44.990453,22,1454.019316
-46.771498,23,1454.166025
-45.340934,24,1454.339953
-55.883487,28,1454.526176
-43.503158,22,1454.660938
-46.799883,23,1454.799729
-43.139466,22,1454.940557
-45.317213,22,1455.080429
-43.849889,22,1455.213516
-46.556338,23,1455.357967
-46.160899,23,1455.537275
-43.775493,22,1455.67578
-43.404765,22,1455.809607
-44.753648,22,1455.946035
-45.47349,22,1456.086379
-48.452166,23,1456.264021
-50.34234,25,1456.419649
-52.032896,26,1456.580505
-43.468517,22,1456.720305
-53.473226,28,1456.901052
-52.740889,27,1457.06987
-58.9857,29,1457.246564
-45.880754,22,1457.390437
-44.935527,22,1457.534523
-52.752891,22,1457.668995
-43.581724,22,1457.806397
-46.351025,23,1457.959944
-46.69404,26,1458.126607
-53.81021,26,1458.279929
-43.373254,22,1458.414513
-45.53323,22,1458.55669
-45.430648,22,1458.700228
-49.948223,26,1458.866758
-43.705066,22,1459.003685
-44.92088,22,1459.142815
-45.271256,22,1459.285224
-48.076769,24,1459.432088
-53.879867,28,1459.596637
-54.633173,27,1459.775431
-44.156399,22,1459.914943
-44.906225,23,1460.056756
-44.143375,22,1460.191438
-43.785853,22,1460.338424
-45.415387,22,1460.473308
-44.0758,22,1460.61199
-45.807788,23,1460.74611
-48.90298,25,1460.903368
-55.220961,28,1461.07271
-55.081354,27,1461.231236
-43.899811,20,1461.348899
-43.41707,22,1461.488425
-43.263066,22,1461.690182
-45.098213,22,1461.824667
-45.292176,22,1461.960027
-44.840482,22,1462.105291
-47.151295,24,1462.259642
-45.554987,23,1462.407443
-56.796263,28,1462.582614
-44.605157,23,1462.736885
-43.91613,22,1462.887746
-43.377861,22,1463.016047
-41.729538,22,1463.145629
-49.803213,26,1463.318848
-44.689122,22,1463.457938
-45.393112,22,1463.593609
-45.169974,22,1463.724265
-46.452048,23,1463.881281
-49.197328,26,1464.046372
-43.982834,21,1464.170287
-45.132847,22,1464.300031
-44.175603,22,1464.445187
-52.100865,26,1464.609347
-42.395685,21,1464.73604
-43.729356,22,1464.878191
-43.633474,22,1465.023734
-49.895126,25,1465.187609
-57.915418,30,1465.372628
-40.650966,21,1465.500114
-43.768037,22,1465.6428
-44.90284,23,1465.804365
-43.688792,22,1465.945704
-46.267736,23,1466.08592
-52.091863,26,1466.263199
-53.720643,26,1466.425321
-43.101896,22,1466.583558
-43.512867,22,1466.714602
-46.647229,23,1466.871541
-43.532177,22,1467.088482
-44.029919,22,1467.226237
-52.314093,27,1467.390842
-45.089354,22,1467.53299
-48.196592,26,1467.698676
-43.03956,25,1467.850792
-60.400152,34,1468.059054
-44.862933,23,1468.20692
-52.358622,28,1468.387529
-43.951489,21,1468.519587
-44.724502,23,1468.662739
-47.634086,24,1468.822632
-53.362463,26,1468.987471
-45.050109,22,1469.121758
-43.546963,22,1469.255498
-51.394472,26,1469.427946
-45.273137,22,1469.568635
-42.312637,22,1469.707009
-45.506902,23,1469.857783
-51.508677,26,1470.022578
-44.010478,21,1470.150255
-45.400897,22,1470.282189
-45.24604,23,1470.423171
-48.325071,26,1470.590217
-52.532807,27,1470.755255
-52.488411,27,1470.921489
-43.794737,21,1471.047728
-43.625645,22,1471.188212
-44.410207,22,1471.329855
-44.453703,22,1471.463332
-43.417348,23,1471.600787
-52.141407,27,1471.78525
-44.813279,22,1471.925395
-45.934538,22,1472.060653
-43.715648,22,1472.194331
-49.296334,27,1472.415869
-45.106493,22,1472.571215
-43.678631,22,1472.705725
-47.86714,26,1472.868968
-45.057352,22,1473.018208
-52.97881,26,1473.203128
-42.247973,21,1473.333406
-45.827174,26,1473.492438
-57.03154,28,1473.670394
-47.732347,27,1473.841306
-54.246565,27,1474.005485
-61.994586,27,1474.164674
-50.229336,24,1474.315324
-43.689445,22,1474.456416
-43.211996,21,1474.58365
-45.179147,23,1474.720293
-55.175855,27,1474.895677
-43.23554,22,1475.029845
-43.766939,22,1475.164395
-47.127225,25,1475.314365
-53.999289,25,1475.477876
-47.374569,24,1475.624997
-52.468521,26,1475.788352
-44.763872,22,1475.920411
-43.003521,22,1476.059717
-49.667897,26,1476.226245
-46.729125,23,1476.366325
-42.137467,21,1476.491698
-43.606742,22,1476.630305
-46.537234,23,1476.774369
-52.096694,25,1476.928952
-40.646535,20,1477.051084
-57.884712,28,1477.235629
-95.08751,56,1477.577314
-45.242438,22,1477.717316
-50.735956,25,1477.873173
-54.271355,27,1478.052898
-45.304787,22,1478.233217
-46.723401,23,1478.376659
-43.872701,22,1478.504568
-48.805418,26,1478.668651
-43.922759,21,1478.801897
-46.675663,23,1478.947158
-53.526524,28,1479.112293
-44.531066,23,1479.272206
-44.725163,22,1479.427968
-45.736165,23,1479.567923
-46.164669,23,1479.713973
-45.410467,23,1479.869537
-43.522264,22,1480.008313
-46.1904,23,1480.145135
-44.018358,22,1480.268714
-42.092333,21,1480.405835
-43.660389,22,1480.549168
-41.597666,22,1480.689107
-55.954707,28,1480.858722
-52.976629,26,1481.030635
-45.568185,21,1481.157936
-49.074509,24,1481.303935
-50.03273,26,1481.461996
-59.045286,30,1481.661348
-44.756412,23,1481.796292
-48.572786,26,1481.951792
-45.288688,22,1482.08752
-48.21052,27,1482.260743
-45.112937,22,1482.405425
-45.235991,22,1482.548393
-49.319202,24,1482.695585
-43.500439,22,1482.861866
-45.106732,22,1483.010901
-46.060459,24,1483.159188
-48.89353,24,1483.302901
-54.503784,27,1483.503935
-45.790448,23,1483.67349
-53.280915,26,1483.832281
-55.666233,28,1484.004793
-43.612123,22,1484.14785
-50.193269,27,1484.335732
-43.894166,21,1484.471818
-45.299367,23,1484.610794
-44.571985,22,1484.756489
-52.442423,26,1484.924469
-63.383783,36,1485.136429
-45.911523,23,1485.273719
-53.210589,26,1485.445106
-45.492634,22,1485.581878
-51.448602,25,1485.735507
-52.400247,27,1485.90326
-44.835279,22,1486.065202
-44.04479,22,1486.20217
-46.663485,23,1486.337324
-44.00192,22,1486.469615
-48.643481,27,1486.643121
-53.928224,27,1486.80934
-43.437156,22,1486.945266
-44.890298,22,1487.079619
-51.336413,27,1487.273487
-45.433802,22,1487.409566
-43.654615,22,1487.542839
-46.196923,24,1487.690222
-54.795187,27,1487.878606
-42.442812,21,1488.009677
-43.67674,22,1488.142865
-51.031948,26,1488.312161
-52.853062,27,1488.493392
-44.506722,22,1488.62876
-44.270526,23,1488.771966
-48.04564,26,1488.936566
-50.98493,25,1489.10164
-43.169104,22,1489.287483
-44.533466,23,1489.428177
-48.567405,27,1489.651576
-44.266761,22,1489.93695
-41.759223,21,1490.074898
-45.416276,22,1490.206239
-53.784051,27,1490.378969
-43.72816,21,1490.515752
-45.162027,22,1490.658073
-41.997487,22,1490.789109
-51.426336,27,1490.952252
-53.513722,26,1491.118418
-43.837986,21,1491.244636
-50.782729,27,1491.405629
-54.525339,26,1491.555654
-84.204341,51,1491.875277
-45.309262,22,1492.017207
-45.357109,22,1492.150635
-51.280391,26,1492.307232
-43.270505,22,1492.447378
-44.364197,23,1492.596976
-46.429621,23,1492.736368
-45.093679,22,1492.873384
-48.927258,25,1493.038439
-44.021217,21,1493.169425
-43.779036,22,1493.303088
-47.148798,25,1493.455289
-52.152296,26,1493.622792
-41.871791,22,1493.75689
-46.826926,25,1493.909779
-87.452674,59,1494.263405
-52.739061,27,1494.440966
-42.249729,21,1494.571866
-43.871226,22,1494.707123
-43.417007,22,1494.841763
-49.881411,27,1495.048455
-45.228507,23,1495.213161
-54.717646,27,1495.380119
-42.285149,21,1495.508875
-46.737635,23,1495.656607
-49.120589,28,1495.835278
-43.548382,22,1495.989634
-45.002535,22,1496.12309
-45.87774,23,1496.275767
-52.019983,27,1496.448414
-45.410293,22,1496.580728
-43.526074,23,1496.715209
-45.481605,22,1496.865716
-49.213371,28,1497.043544
-56.439052,28,1497.213826
-54.155533,27,1497.391722
-45.365169,21,1497.555663
-45.142825,22,1497.703246
-45.564619,22,1497.843256
-43.400534,22,1497.976093
-43.68173,23,1498.126302
-54.700605,27,1498.300406
-53.859307,27,1498.47346
-42.213497,22,1498.684291
-42.813496,22,1498.847588
-47.549866,26,1499.003269
-42.218119,21,1499.126587
-45.316196,22,1499.25969
-43.096692,23,1499.411527
-48.397402,26,1499.574486
-43.70948,22,1499.707156
-43.354243,22,1499.849612
-50.207046,28,1500.044317
-53.995165,27,1500.205721
-42.176825,21,1500.334405
-45.255398,23,1500.476147
-44.766698,23,1500.624993
-49.521712,27,1500.853618
-44.424898,22,1500.989881
-55.768235,28,1501.159417
-44.543578,22,1501.298005
-51.501907,26,1501.473666
-44.110456,21,1501.601949
-43.764645,22,1501.736243
-50.395551,26,1501.926068
-54.970078,29,1502.111534
-55.123608,27,1502.274477
-43.767505,22,1502.419002
-45.279425,22,1502.560112
-44.272937,22,1502.722766
-43.820218,22,1502.860025
-44.149625,24,1503.002233
-41.649732,22,1503.143649
-44.34051,23,1503.288557
-50.218247,26,1503.447407
-42.367439,20,1503.565607
-43.519466,22,1503.715666
-45.137146,22,1503.855433
-43.652398,21,1503.981902
-52.57007,25,1504.131597
-55.924101,25,1504.29235
-44.57406,22,1504.431936
-43.384125,21,1504.55796
-46.632305,24,1504.700656
-57.368509,28,1504.895306
-45.198764,22,1505.026472
-44.435361,23,1505.161487
-43.951659,24,1505.300575
-55.778478,28,1505.484374
-43.460829,22,1505.615649
-50.64901,26,1505.775141
-53.289146,26,1505.938781
-48.657214,27,1506.136657
-45.349341,22,1506.305351
-46.487666,23,1506.452443
-52.916537,27,1506.623671
-43.620583,21,1506.758105
-43.422399,22,1506.90781
-51.513605,26,1507.071519
-54.991313,27,1507.235434
-47.524291,27,1507.426738
-50.893571,26,1507.585988
-53.274649,26,1507.747144
-42.318689,21,1507.879555
-44.070651,22,1508.020077
-49.151078,26,1508.188253
-40.71935,21,1508.319474
-43.966419,21,1508.441863
-45.119451,22,1508.582578
-46.594903,23,1508.722172
-48.744849,25,1508.87442
-45.103183,22,1509.001193
-45.642663,22,1509.148002
-44.517835,24,1509.315427
-54.954534,27,1509.482253
-43.747463,22,1509.614996
-43.52965,22,1509.756889
-42.179713,21,1509.895457
-46.668802,23,1510.03565
-43.509243,22,1510.168389
-43.350911,22,1510.316467
-50.950071,28,1510.505023
-53.648437,27,1510.669339
-88.423577,53,1511.000779
-45.152645,22,1511.156976
-45.22813,22,1511.299422
-49.185974,25,1511.456634
-45.318307,22,1511.590032
-45.902862,25,1511.761198
-54.261784,27,1511.958833
-50.669782,23,1512.099813
-47.974833,25,1512.2495
-44.050427,23,1512.39744
-45.664981,22,1512.536851
-48.027612,27,1512.698013
-43.81496,21,1512.822491
-43.404387,22,1512.964906
-52.262651,27,1513.131814
-42.459601,21,1513.256874
-43.768719,22,1513.390798
-50.015017,27,1513.564425
-45.449225,22,1513.69898
-43.591257,22,1513.832495
-48.786417,27,1513.994016
-44.044817,21,1514.124934
-45.20162,22,1514.263597
-51.04295,25,1514.414909
-44.732237,23,1514.550752
-49.775276,27,1514.731894
-53.547108,28,1514.907222
-51.243894,26,1515.067325
-45.504547,22,1515.196479
-46.758841,23,1515.354374
-43.363255,23,1515.499347
-45.439207,22,1515.658108
-45.422694,25,1515.809457
-54.080762,26,1515.978609
-45.037204,22,1516.104767
-43.778487,22,1516.23747
-47.153308,23,1516.376432
-44.723839,23,1516.524096
-43.263316,22,1516.664705
-43.933895,21,1516.790608
-44.988527,22,1516.928619
-43.532598,22,1517.071736
-45.4003,22,1517.275155
-43.576718,22,1517.412703
-50.183319,25,1517.564341
-46.489228,23,1517.715746
-50.244181,26,1517.881474
-52.877902,27,1518.046453
-44.91916,22,1518.18075
-43.316738,22,1518.321682
-42.421795,21,1518.457498
-49.441982,24,1518.600858
-45.211471,22,1518.733118
-44.582512,23,1518.885312
-49.168705,25,1519.045049
-44.642321,23,1519.184846
-50.521197,26,1519.34229
-42.136616,21,1519.479669
-45.941802,23,1519.625946
-43.436589,22,1519.75919
-51.527859,26,1519.917799
-55.737218,27,1520.09075
-53.555183,27,1520.260449
-42.471957,21,1520.398429
-45.449593,22,1520.536426
-43.611584,22,1520.676057
-57.566104,27,1520.858997
-43.591433,22,1520.993407
-46.161504,23,1521.13454
-51.832041,26,1521.307096
-42.412965,21,1521.440226
-46.668946,23,1521.580925
-51.323258,25,1521.728564
-43.681749,21,1521.866688
-48.221995,25,1522.041409
-44.997865,22,1522.176564
-45.274472,23,1522.318479
-43.860558,21,1522.459858
-45.435419,23,1522.677987
-62.367175,29,1522.853302
-54.318924,27,1523.021605
-43.642324,22,1523.162006
-43.626832,22,1523.303513
-51.210884,28,1523.48062
-43.976234,21,1523.610364
-48.325374,27,1523.789356
-54.927439,25,1523.949224
-43.712881,22,1524.081015
-44.611863,22,1524.216645
-47.251677,26,1524.397724
-51.642763,27,1524.566517
-45.579194,23,1524.707594
-50.819654,27,1524.87776
-53.644445,28,1525.062556
-43.563209,22,1525.199261
-49.735044,26,1525.361351
-43.605396,22,1525.496668
-43.509333,22,1525.642146
-44.214894,22,1525.787931
-46.016793,25,1525.945001
-43.503101,22,1526.077775
-45.626298,22,1526.219377
-49.341313,24,1526.374008
-44.297003,23,1526.516363
-46.363508,26,1526.670013
-52.375702,27,1526.855584
-50.387848,25,1527.013086
-49.80391,25,1527.164252
-68.520486,39,1527.400976
-43.446338,22,1527.538755
-45.371668,22,1527.683569
-46.864289,23,1528.031513
-45.144066,22,1528.183654
-43.967763,22,1528.329023
-43.984746,22,1528.54554
-54.494797,27,1528.707963
-41.901721,22,1528.845185
-43.776041,21,1528.974487
-45.207239,22,1529.115621
-47.035486,23,1529.253064
-45.158213,23,1529.395538
-50.851876,25,1529.553044
-53.045829,26,1529.712925
-53.323325,26,1529.872412
-43.712361,22,1530.003233
-45.926714,24,1530.156479
-53.715012,27,1530.323428
-43.574759,22,1530.457432
-51.803088,27,1530.620331
-43.915242,22,1530.758315
-43.59929,22,1530.897754
-45.640868,25,1531.047509
-54.990227,27,1531.211109
-43.529654,22,1531.343312
-43.529375,22,1531.480167
-45.507777,22,1531.609753
-46.351261,24,1531.752685
-55.147851,27,1531.931679
-45.670152,23,1532.081624
-49.699382,25,1532.231559
-45.348278,22,1532.366665
-45.256728,23,1532.520503
-47.209558,23,1532.668343
-43.550879,23,1532.806606
-46.006214,23,1532.951764
-43.048602,23,1533.100091
-43.766599,21,1533.234439
-45.688887,23,1533.379673
-46.697531,23,1533.51751
-46.83397,23,1533.667614
-43.812471,22,1533.861154
-42.332285,21,1533.988431
-43.463179,22,1534.121444
-43.636679,22,1534.263798
-40.700762,20,1534.395412
-44.33953,23,1534.531566
-43.554772,23,1534.669985
-44.323342,23,1534.82628
-52.918825,26,1535.005885
-44.90273,23,1535.151457
-55.255489,26,1535.313344
-45.079126,22,1535.453212
-45.037935,22,1535.592247
-46.168316,23,1535.729876
-45.090267,22,1535.86306
-44.93571,23,1536.009953
-45.601679,22,1536.14758
-43.752338,22,1536.27946
-45.218871,22,1536.414162
-46.731802,23,1536.561833
-41.844849,21,1536.696137
-44.913304,23,1536.835986
-43.513721,22,1536.968484
-47.094287,24,1537.123767
-55.977825,28,1537.295849
-42.367543,21,1537.424422
-46.339975,23,1537.562583
-45.2049,22,1537.703375
-48.175646,25,1537.863655
-53.34892,28,1538.031785
-40.883729,21,1538.158504
-45.205968,22,1538.308492
-44.978513,22,1538.44834
-43.866006,21,1538.574908
-43.75604,22,1538.70558
-44.780623,23,1538.873354
-44.405158,23,1539.082819
-43.243093,23,1539.228023
-45.460481,22,1539.363788
-47.639794,25,1539.539209
-43.837456,22,1539.675202
-46.704187,23,1539.814681
-43.727274,22,1539.954447
-45.06655,23,1540.10375
-44.939986,22,1540.241326
-43.825716,22,1540.375901
-42.428238,21,1540.50381
-45.137192,22,1540.691078
-46.484982,23,1540.837701
-46.701623,23,1540.974308
-47.964802,24,1541.122227
-52.826173,26,1541.299581
-43.769098,22,1541.442143
-45.344842,22,1541.58102
-50.856148,25,1541.730149
-51.227012,26,1541.908603
-53.056285,27,1542.078327
-40.790017,21,1542.208119
-45.128356,22,1542.344306
-42.389071,21,1542.482993
-48.117429,24,1542.641387
-50.860254,26,1542.801713
-43.51269,22,1542.939553
-43.763178,22,1543.08237
-45.403644,22,1543.223176
-53.36494,26,1543.389448
-52.79739,26,1543.549598
-45.317836,22,1543.694392
-43.975636,21,1543.833721
-45.259408,22,1543.976556
-47.610793,25,1544.136415
-52.579131,27,1544.331911
-47.369627,23,1544.514542
-51.63559,27,1544.678042
-55.243041,27,1544.844907
-43.614955,22,1544.999097
-45.543522,22,1545.155275
-44.800098,22,1545.293169
-44.664265,22,1545.429378
-51.503484,28,1545.624241
-53.775778,28,1545.793378
-54.900042,27,1545.962363
-42.226992,21,1546.097123
-43.627479,21,1546.225907
-46.3892,23,1546.378978
-45.256382,22,1546.508894
-45.946678,23,1546.652051
-47.821537,26,1546.82262
-45.389493,23,1546.972954
-53.40667,28,1547.146493
-45.106959,23,1547.284351
-43.668581,22,1547.427079
-54.812571,27,1547.597614
-55.423941,28,1547.772548
-45.354941,22,1547.912883
-46.788008,23,1548.06427
-47.936397,23,1548.208008
-44.377522,22,1548.349273
-45.337745,22,1548.483172
-43.657986,22,1548.624935
-46.604726,23,1548.769973
-43.360122,22,1548.903
-43.600412,22,1549.036769
-44.93831,23,1549.190366
-45.003343,22,1549.339061
-56.828094,28,1549.509589
-52.509019,27,1549.671411
-44.892995,22,1549.809006
-51.457162,26,1550.045809
-52.265451,26,1550.215561
-52.738961,27,1550.389744
-54.36889,25,1550.550185
-50.170559,24,1550.700929
-43.673251,22,1550.836894
-42.377584,21,1550.971734
-45.634133,22,1551.114491
-46.492555,23,1551.258512
-45.664918,23,1551.398051
-45.507141,22,1551.528897
-43.528126,22,1551.668568
-48.015363,24,1551.824254
-56.231212,27,1551.994798
-45.179623,22,1552.131931
-46.626965,23,1552.280816
-44.615652,24,1552.434462
-49.145598,27,1552.596837
-51.058821,28,1552.765517
-51.63374,26,1552.940219
-42.877224,23,1553.082749
-45.153598,22,1553.216099
-49.300455,26,1553.380264
-45.527419,22,1553.520243
-53.104579,26,1553.690527
-44.854146,22,1553.826802
-46.482736,23,1553.968473
-54.01036,28,1554.158807
-46.637004,23,1554.29847
-45.15091,22,1554.435564
-49.590262,25,1554.588634
-51.435787,26,1554.762554
-44.672556,22,1554.905053
-43.131705,22,1555.050869
-43.16785,22,1555.182718
-46.283349,23,1555.339612
-45.647947,23,1555.541914
-43.654129,22,1555.671634
-45.086221,23,1555.812358
-45.068768,23,1555.979312
-48.604418,25,1556.135053
-50.955208,26,1556.295882
-40.79506,20,1556.419153
-45.27183,22,1556.561372
-45.648179,23,1556.707235
-48.648388,26,1556.872613
-52.053044,25,1557.0317
-44.732539,22,1557.176504
-50.057174,25,1557.351188
-46.739517,23,1557.490504
-43.126589,21,1557.61675
-46.112197,24,1557.774912
-44.322036,23,1557.919633
-52.89842,26,1558.080828
-45.121138,22,1558.210153
-42.408483,21,1558.345125
-46.176379,23,1558.497748
-44.730559,22,1558.629798
-44.686485,23,1558.768764
-52.635294,26,1558.953504
-44.418137,23,1559.092093
-44.880565,22,1559.226759
-44.911624,23,1559.366289
-44.818453,22,1559.511032
-43.715946,22,1559.654185
-47.866975,24,1559.80549
-42.110998,22,1559.945199
-45.001061,22,1560.124358
-45.108551,22,1560.266723
-42.085496,21,1560.424631
-43.803095,22,1560.56367
-43.402718,22,1560.707247
-43.755984,21,1560.908185
-49.745147,26,1561.067259
-49.707147,25,1561.218801
-52.573471,27,1561.404919
-45.061569,22,1561.53892
-44.252927,24,1561.686849
-41.527856,22,1561.831334
-45.32772,22,1561.97222
-46.74526,23,1562.125515
-44.115592,22,1562.261221
-46.901867,23,1562.4034
-43.645332,22,1562.545383
-45.000287,22,1562.687802
-49.334969,25,1562.929525
-56.094338,27,1563.104712
-43.747443,21,1563.236605
-43.576319,22,1563.37921
-43.793552,22,1563.511075
-51.032486,27,1563.674736
-49.939431,25,1563.834754
-54.899969,27,1563.999966
-43.182073,22,1564.133162
-49.774155,25,1564.28255
-55.804518,28,1564.46766
-45.995743,23,1564.609654
-44.792396,22,1564.743919
-46.228346,23,1564.887673
-43.376554,22,1565.028949
-45.411316,22,1565.188984
-47.295484,25,1565.345625
-54.311814,27,1565.508668
-43.62053,22,1565.660964
-43.694013,22,1565.844642
-43.856064,21,1565.974798
-54.251315,22,1566.109765
-46.317458,23,1566.263215
-43.75661,22,1566.408988
-45.772604,23,1566.551751
-47.770758,27,1566.718965
-49.43318,26,1566.899497
-52.486272,26,1567.063478
-43.325699,22,1567.199255
-44.126438,22,1567.334543
-45.078292,22,1567.470239
-43.792868,22,1567.619653
-44.847672,26,1567.776335
-54.55656,27,1567.948764
-43.849607,21,1568.076843
-44.93257,22,1568.218289
-44.877864,22,1568.355871
-48.726566,27,1568.514792
-60.764711,35,1568.738533
-52.952245,26,1568.893885
-43.551053,21,1569.017078
-47.072855,25,1569.164996
-54.457248,27,1569.333376
-42.227953,21,1569.461399
-45.159579,21,1569.584799
-43.764442,22,1569.713542
-48.832931,26,1569.88089
-54.834281,29,1570.055755
-54.437734,27,1570.213771
-52.779841,29,1570.38958
-44.410784,22,1570.53089
-42.237721,21,1570.665701
-45.65275,23,1570.807552
-54.495526,27,1570.978373
-40.788633,20,1571.111833
-46.635609,23,1571.315572
-54.961539,27,1571.486935
-43.898069,21,1571.624411
-44.97927,22,1571.775105
-44.913915,22,1571.955936
-45.389387,22,1572.096665
-43.788335,21,1572.224837
-45.212622,22,1572.364876
-43.522512,22,1572.503599
-54.643414,29,1572.674708
-43.764995,21,1572.798748
-43.839549,22,1572.943025
-44.361331,24,1573.097694
-43.568685,22,1573.229266
-50.524298,27,1573.389405
-46.216677,23,1573.530069
-44.56197,23,1573.672754
-45.433442,22,1573.804326
-45.408224,23,1573.944973
-45.397002,23,1574.091051
-42.186944,21,1574.223605
-45.524189,22,1574.357303
-45.28883,22,1574.49021
-45.092656,22,1574.62842
-44.950494,22,1574.768502
-47.146097,23,1574.909182
-48.432792,27,1575.071273
-43.745892,21,1575.206854
-45.341432,22,1575.35298
-42.268746,21,1575.480692
-45.188862,22,1575.612349
-50.587191,26,1575.791097
-42.570914,21,1575.92308
-43.542161,22,1576.05984
-52.179017,26,1576.217291
-54.367902,28,1576.452061
-42.058883,21,1576.586375
-45.373174,23,1576.725483
-52.520407,27,1576.892772
-51.645646,26,1577.064189
-54.42501,27,1577.231114
-44.702566,22,1577.365778
-45.039617,22,1577.496472
-43.851782,22,1577.636029
-48.167081,27,1577.80483
-54.891184,29,1577.982156
-43.927635,22,1578.113896
-43.818836,22,1578.272542
-41.942488,22,1578.426863
-51.836486,26,1578.585532
-43.988471,21,1578.713709
-42.81377,23,1578.869569
-44.206878,22,1579.007255
-54.419163,27,1579.169711
-45.484742,22,1579.29977
-52.759066,26,1579.483807
-47.095216,23,1579.62576
-54.86144,27,1579.789186
-50.059125,25,1579.944545
-54.978654,27,1580.125856
-57.766107,30,1580.316818
-45.029588,22,1580.455817
-45.006888,22,1580.589438
-45.857712,22,1580.759675
-44.19845,22,1580.899333
-45.075298,22,1581.02833
-48.1505,25,1581.173292
-52.145032,25,1581.328631
-47.080622,25,1581.480843
-52.453682,26,1581.633479
-40.871505,21,1581.75611
-44.709889,23,1581.907017
-45.198512,22,1582.111728
-45.041175,22,1582.242893
-51.288833,24,1582.394451
-43.407517,22,1582.533711
-45.376702,22,1582.676424
-44.874665,22,1582.816503
-43.078751,23,1582.964252
-44.769959,22,1583.108379
-45.381749,23,1583.253027
-45.282328,23,1583.393088
-46.783292,23,1583.532529
-41.604888,21,1583.669651
-45.097034,26,1583.841649
-44.008837,21,1583.971042
-46.373589,23,1584.108279
-43.057203,23,1584.256514
-52.980848,27,1584.429236
-41.418803,22,1584.561485
-45.282355,23,1584.698555
-43.474355,23,1584.848449
-43.447158,22,1584.989341
-52.413669,28,1585.166001
-55.19511,29,1585.339585
-42.157908,21,1585.469933
-45.205959,22,1585.637771
-43.411741,23,1585.775464
-44.548426,23,1585.914744
-43.859174,22,1586.053602
-48.26461,26,1586.214244
-54.219327,28,1586.38399
-54.702726,27,1586.544437
-42.256798,21,1586.676338
-43.66336,23,1586.823931
-44.489408,22,1586.958878
-44.146433,22,1587.093305
-45.411604,23,1587.238597
-44.857434,22,1587.444228
-45.644758,22,1587.57979
-43.407078,22,1587.709969
-50.982208,27,1587.907076
-57.871655,30,1588.087857
-66.447317,40,1588.338102
-55.530539,28,1588.511736
-43.827194,21,1588.645885
-43.795719,22,1588.794122
-45.093844,23,1588.939646
-45.786517,22,1589.067217
-55.726571,27,1589.243831
-43.865007,22,1589.380866
-46.156871,23,1589.520838
-43.294599,22,1589.653487
-41.90464,22,1589.795
-45.534662,22,1589.935694
-43.652559,22,1590.068239
-45.341969,23,1590.203673
-46.796589,26,1590.377649
-57.880776,31,1590.560235
-57.281723,34,1590.765263
-41.104346,21,1590.898223
-43.91545,21,1591.072009
-42.991914,22,1591.214739
-43.804177,21,1591.344942
-45.280492,22,1591.475448
-47.194476,25,1591.655941
-55.922971,29,1591.83305
-47.443274,23,1591.973036
-54.595404,27,1592.141812
-43.800107,22,1592.283271
-44.926344,22,1592.427756
-43.369869,21,1592.554721
-50.049083,25,1592.701836
-51.587519,28,1592.930282
-58.502804,28,1593.125934
-43.882228,21,1593.254618
-45.199508,22,1593.390871
-43.877621,22,1593.525867
-43.582699,25,1593.686483
-52.727758,25,1593.840912
-54.710062,27,1594.002877
-45.186193,22,1594.185503
-42.296103,21,1594.312778
-46.582804,23,1594.457548
-45.108869,22,1594.597111
-43.542483,23,1594.743368
-47.721819,25,1594.908982
-54.937103,27,1595.074509
-43.755771,21,1595.199419
-45.260635,22,1595.348794
-45.615813,22,1595.490342
-43.324555,22,1595.623004
-48.330261,27,1595.791039
-44.367509,22,1595.940122
-43.354569,22,1596.094696
-45.444153,22,1596.228755
-42.457176,20,1596.350014
-44.547094,22,1596.495798
-50.748114,26,1596.664375
-52.286161,26,1596.832458
-52.434423,27,1597.011116
-56.813989,30,1597.204822
-42.246832,21,1597.335159
-40.723955,20,1597.455807
-44.785734,23,1597.593139
-42.107645,21,1597.726828
-44.001509,22,1597.878031
-42.204215,21,1598.00644
-43.499701,22,1598.139334
-50.729153,27,1598.364086
-55.217964,27,1598.543064
-52.920087,26,1598.699366
-44.141155,22,1598.837796
-51.500705,28,1599.037441
-48.105305,24,1599.184666
-44.83792,24,1599.335465
-53.276794,27,1599.491109
-40.899188,21,1599.628475
-44.716695,22,1599.773313
-46.515648,23,1599.907043
-52.240393,27,1600.070329
-40.843102,21,1600.204433
-44.972751,22,1600.350065
-49.173844,26,1600.515465
-43.315146,22,1600.670954
-42.292841,21,1600.804262
-42.564581,21,1600.943334
-44.07783,22,1601.078389
-44.96636,23,1601.217716
-45.538845,22,1601.363094
-45.346138,22,1601.505649
-48.779991,25,1601.65817
-54.676103,27,1601.818812
-43.560018,21,1601.956719
-45.177416,22,1602.101706
-44.66166,22,1602.23388
-47.54807,27,1602.402979
-48.418335,25,1602.56927
-54.327698,27,1602.7344
-47.994937,23,1602.877937
-48.041258,25,1603.029884
-43.800822,22,1603.176526
-44.057928,22,1603.31671
-50.860329,28,1603.487633
-56.997869,29,1603.66432
-43.774301,21,1603.800565
-42.219121,21,1603.993355
-45.409272,22,1604.123909
-45.469366,22,1604.252972
-52.313517,26,1604.418619
-58.670941,30,1604.598817
-42.272378,21,1604.722887
-43.904134,22,1604.856304
-46.710989,23,1605.007964
-45.212935,23,1605.142187
-45.340608,24,1605.280112
-45.120769,22,1605.412866
