#{"t_start": 1776329272.3720527, "env_id": "None"}
r,l,t
-110.795608,66,189.296671
-71.316359,34,189.513629
-75.340205,37,189.7306
-69.034866,32,189.924228
-79.314914,39,190.153467
-73.622363,43,190.42338
-65.921697,32,190.612613
-71.254389,38,190.838162
-83.835316,44,191.094892
-65.253838,31,191.293344
-103.149023,69,191.680011
-72.054853,34,191.870275
-85.148091,47,192.129374
-81.04657,43,192.401418
-72.637907,38,192.626274
-134.539725,80,193.100702
-72.850975,34,193.30428
-70.449521,35,193.584388
-102.611898,71,194.003286
-71.498418,34,194.200788
-81.611876,40,194.436724
-81.744711,46,194.725883
-83.631515,44,194.985313
-81.12422,42,195.231406
-69.025786,39,195.46041
-82.314065,39,195.700349
-104.273399,59,196.015461
-78.19835,38,196.218819
-75.927052,40,196.431405
-71.424616,35,196.637952
-79.930328,45,196.885374
-77.865765,47,197.139221
-73.426446,41,197.358847
-71.795142,35,197.562179
-82.164177,47,197.813542
-90.661379,46,198.064446
-80.54047,40,198.274212
-73.455111,41,198.512095
-93.413747,55,198.821307
-98.317443,59,199.151284
-79.847848,39,199.358172
-102.159741,65,199.726627
-95.3753,48,199.985322
-75.666054,39,200.193919
-82.711503,42,200.417938
-91.426809,45,200.681878
-74.103951,45,200.923603
-92.896155,46,201.166728
-66.698854,36,201.35788
-65.689756,35,201.560897
-86.835663,44,201.798826
-74.537239,40,202.026169
-95.263008,54,202.313796
-96.337035,53,202.656264
-89.282451,46,202.9062
-74.48717,38,203.112666
-83.112622,42,203.336853
-88.723037,44,203.602085
-74.023305,40,203.81578
-75.678592,39,204.028286
-121.740267,71,204.40797
-66.751148,35,204.609993
-72.167935,38,204.822824
-74.91079,42,205.054464
-69.769579,35,205.242854
-83.716014,43,205.496349
-68.226979,41,205.716348
-64.558194,33,205.896159
-74.132471,40,206.110261
-80.188853,51,206.402378
-66.247172,36,206.597624
-65.375581,36,206.792806
-62.684684,32,206.971349
-85.325215,57,207.295523
-65.234597,34,207.480644
-78.125391,39,207.693599
-68.696702,37,207.892234
-88.794133,54,208.200258
-63.271324,32,208.375495
-80.234153,48,208.635361
-62.176373,33,208.818248
-152.902476,97,209.365578
-60.964404,32,209.54226
-79.484518,44,209.778024
-68.257025,33,209.95838
-72.46495,46,210.225966
-70.501418,42,210.455605
-60.104707,31,210.625793
-72.826352,38,210.844305
-69.312789,47,211.188962
-68.524776,35,211.396709
-66.58068,35,211.611538
-62.937474,30,211.791744
-69.810065,35,212.052824
-68.243958,36,212.262079
-82.639204,47,212.518591
-66.813968,36,212.711065
-66.656971,39,212.940528
-70.889914,34,213.123284
-68.066805,34,213.30383
-64.86385,34,213.489642
-60.463538,29,213.658134
-70.564573,36,213.859539
-62.393169,32,214.030932
-64.434286,33,214.2098
-66.84576,32,214.411859
-83.477802,51,214.711585
-75.362381,41,214.957454
-66.911317,37,215.175081
-109.441631,72,215.594773
-64.364811,31,215.761425
-64.72905,35,215.953017
-61.367053,35,216.138872
-65.109601,38,216.361821
-63.022372,32,216.535407
-63.143629,36,216.726241
-63.013138,36,216.926308
-54.698874,27,217.079568
-71.716195,40,217.301009
-60.444702,31,217.470028
-52.81368,26,217.611804
-65.86866,36,217.81634
-55.332319,33,217.997042
-64.917247,36,218.189086
-62.665036,35,218.38071
-64.320422,34,218.63352
-60.815572,32,218.819429
-67.109672,37,219.04016
-68.388915,36,219.248621
-66.287662,35,219.463926
-66.705102,33,219.646539
-67.599299,35,219.847676
-62.841048,33,220.04127
-61.677968,34,220.253443
-61.344141,30,220.432218
-63.661554,31,220.613656
-69.809938,40,220.85403
-129.640689,71,221.280904
-62.112631,34,221.468866
-66.022147,34,221.660729
-64.055072,36,221.882535
-65.286827,31,222.082022
-63.392977,32,222.277775
-63.819468,32,222.466161
-100.083739,65,222.849947
-67.023279,31,223.052726
-71.631073,42,223.302539
-64.426609,34,223.50569
-52.169397,29,223.671419
-66.816594,34,223.875477
-64.405767,32,224.053118
-61.577109,33,224.234244
-65.631077,33,224.419919
-59.677758,31,224.611353
-64.723867,34,224.812298
-64.365157,30,224.989927
-57.772668,28,225.149925
-60.993621,31,225.337577
-61.457324,31,225.51632
-66.260445,34,225.707738
-64.868895,32,225.895725
-67.801751,34,226.152189
-65.97011,34,226.354682
-63.060921,32,226.542645
-48.861408,24,226.682412
-63.376673,30,226.878784
-67.476952,31,227.070696
-61.546997,30,227.248976
-63.459487,35,227.45864
-57.343163,25,227.619308
-60.502324,30,227.801171
-66.117549,35,227.992275
-54.362811,24,228.122108
-49.335183,27,228.277821
-54.123348,24,228.414262
-50.188722,23,228.536278
-60.572431,24,228.663649
-53.660799,23,228.795089
-66.113246,31,228.969193
-49.514443,23,229.091221
-53.142689,24,229.218372
-76.009331,38,229.44533
-61.256801,30,229.621769
-68.125642,33,229.81091
-65.337775,31,229.997429
-64.309,35,230.216324
-68.480813,32,230.409743
-51.576334,28,230.562149
-60.081371,31,230.729799
-66.768415,32,230.918039
-67.037592,34,231.103685
-65.479391,34,231.284528
-65.121724,32,231.461561
-66.939015,32,231.645685
-67.434468,34,231.832346
-68.957321,35,232.025723
-65.017355,39,232.238783
-63.757635,35,232.4431
-64.775669,31,232.611257
-62.203253,29,232.765658
-68.365968,34,233.017015
-65.42943,31,233.218501
-71.801364,35,233.431994
-64.141361,31,233.616096
-70.779609,36,233.839046
-67.478866,31,234.048514
-58.734256,29,234.21909
-64.842775,30,234.400091
-66.534589,31,234.584767
-67.380737,34,234.802784
-63.16718,30,234.984999
-64.962925,33,235.176656
-67.248385,33,235.375735
-62.888307,32,235.580797
-66.21153,33,235.775448
-66.260673,32,235.965787
-71.951092,35,236.179532
-69.727824,34,236.407666
-65.683135,31,236.589288
-64.358036,34,236.786668
-67.275239,36,237.000672
-68.433915,33,237.207028
-72.903542,38,237.43622
-63.88264,31,237.616479
-65.984439,33,237.810761
-67.764853,34,238.031264
-71.375592,35,238.235647
-64.110109,32,238.425462
-64.385177,31,238.610623
-67.924332,34,238.833915
-64.404881,31,239.017993
-64.456946,31,239.19742
-64.918357,31,239.392554
-64.854689,30,239.63186
-66.835943,33,239.934842
-73.461981,37,240.165873
-65.728867,31,240.348823
-73.732266,36,240.578484
-68.431594,36,240.793764
-61.311311,29,240.966319
-59.582995,29,241.13621
-63.16721,31,241.330785
-62.679745,32,241.522652
-70.527728,34,241.720111
-69.527071,34,241.928051
-63.829728,30,242.119155
-65.976174,31,242.306008
-68.986242,36,242.525067
-55.99911,29,242.69717
-64.693386,31,242.897314
-65.853905,33,243.089353
-65.911823,34,243.286328
-65.698369,32,243.478178
-50.83122,28,243.653593
-69.001738,34,243.857414
-70.455581,37,244.064379
-68.812176,37,244.27146
-69.244946,34,244.478649
-74.822515,38,244.695951
-76.861187,39,244.917625
-68.837014,34,245.109792
-62.327118,32,245.299651
-64.875,31,245.479632
-66.38984,34,245.671397
-68.036711,31,245.85196
-62.438313,31,246.04487
-64.796708,31,246.229357
-63.81392,29,246.401434
-62.775339,29,246.574499
-63.986397,30,246.813572
-68.787634,31,247.002777
-56.084085,28,247.165914
-58.725373,29,247.342563
-67.192713,32,247.545642
-65.08836,31,247.735591
-62.692807,29,247.906415
-58.769112,29,248.07849
-68.510687,31,248.273552
-64.121564,32,248.467745
-64.362384,29,248.632537
-55.888688,29,248.80079
-59.215433,30,248.986475
-68.341255,32,249.172408
-82.170769,42,249.414731
-86.251579,48,249.693441
-61.772214,31,249.896003
-56.372804,28,250.061988
-53.18092,29,250.230282
-52.553155,27,250.391372
-64.333692,32,250.597332
-55.183966,25,250.742852
-64.133546,31,250.933462
-69.492899,36,251.150354
-73.449352,39,251.397013
-68.934609,33,251.590102
-74.716356,38,251.814676
-51.4399,23,251.958982
-54.209302,23,252.097694
-68.374154,33,252.302457
-62.089295,31,252.485749
-59.85873,29,252.656227
-59.8577,27,252.822376
-76.548049,40,253.057611
-75.838527,37,253.267637
-49.165591,23,253.402473
-70.654803,35,253.663214
-66.543398,33,253.862793
-62.671096,30,254.039404
-51.380724,26,254.197226
-63.873556,31,254.403896
-80.542701,41,254.649246
-69.711587,33,254.850948
-75.433026,42,255.101984
-73.929974,39,255.349896
-68.471925,36,255.564495
-67.947644,35,255.776784
-53.446014,28,255.941355
-91.414649,49,256.245029
-66.582928,31,256.432469
-50.534507,25,256.583648
-76.232704,42,256.836853
-71.337832,38,257.088531
-53.353703,27,257.247344
-61.1099,30,257.423658
-64.289073,32,257.614616
-85.454609,47,257.911257
-66.168925,32,258.099898
-71.307242,37,258.317403
-78.800193,41,258.556707
-57.841245,28,258.733477
-69.785549,32,258.949714
-67.573498,33,259.140132
-64.148092,32,259.337094
-68.679505,32,259.537693
-63.9835,31,259.720873
-72.859879,39,259.952275
-77.04496,42,260.201627
-64.633931,31,260.4049
-58.794778,28,260.569702
-59.741524,32,260.756383
-51.53489,28,260.929994
-88.87561,55,261.314565
-45.812113,22,261.447523
-57.682424,28,261.615422
-64.925665,32,261.799689
-77.785314,42,262.068817
-60.588588,30,262.244697
-66.374834,32,262.435593
-66.900254,37,262.659177
-68.090871,33,262.871981
-74.962877,44,263.134046
-69.435847,36,263.346334
-62.996313,31,263.522058
-56.746904,31,263.711838
-52.424305,28,263.882356
-57.005278,29,264.051827
-63.688096,30,264.230078
-71.66985,35,264.450233
-61.698159,30,264.629827
-59.8282,31,264.812787
-53.102373,25,264.964548
-68.5796,33,265.176993
-66.233382,34,265.391745
-46.810567,22,265.519451
-67.603881,36,265.733916
-40.44932,22,265.877829
-54.853447,25,266.040236
-67.062304,35,266.247415
-56.034177,29,266.423235
-56.071694,29,266.613337
-77.507639,42,266.866412
-72.170824,38,267.102916
-65.948419,31,267.285966
-57.381103,30,267.483637
-51.008482,24,267.628404
-62.663632,32,267.816091
-61.933695,32,268.009514
-62.76381,31,268.268378
-65.17938,32,268.461024
-62.312214,34,268.6965
-57.983468,30,268.875241
-83.404399,47,269.167221
-98.528091,59,269.512226
-59.00849,31,269.700354
-66.350966,34,269.906536
-61.445375,31,270.115976
-70.960349,39,270.351041
-58.905322,29,270.519403
-54.746114,26,270.672795
-56.530302,31,270.875229
-95.0419,52,271.188076
-52.023793,26,271.35335
-57.908099,30,271.527984
-60.385027,30,271.712925
-85.024299,48,272.000893
-60.262833,30,272.172422
-52.009322,25,272.317278
-60.496087,30,272.501909
-62.946559,30,272.679188
-55.108512,29,272.846891
-58.840416,31,273.028314
-48.182901,25,273.180353
-62.753736,32,273.378566
-60.364999,29,273.549958
-66.990668,33,273.748977
-100.751634,63,274.151288
-57.788922,30,274.333189
-65.830024,36,274.547696
-64.569232,32,274.730752
-51.205463,25,274.88703
-60.975712,32,275.084485
-62.320186,33,275.278729
-66.77329,32,275.47575
-63.769006,34,275.732209
-54.913863,26,275.898888
-57.515012,31,276.077996
-131.240284,85,276.581134
-67.59202,33,276.793048
-49.70269,23,276.937974
-62.235292,33,277.132401
-62.501599,32,277.328286
-45.336619,22,277.468312
-59.015706,30,277.654412
-57.104339,29,277.827376
-86.238191,44,278.095502
-68.741534,37,278.341426
-61.449293,31,278.521901
-53.736107,25,278.668708
-67.522914,34,278.875241
-64.030728,31,279.074811
-56.771359,29,279.238219
-49.840867,25,279.38323
-68.902175,39,279.605458
-49.902345,24,279.746804
-95.366905,54,280.062174
-55.643536,30,280.228811
-112.745802,75,280.653928
-162.706322,114,281.326483
-116.113353,66,281.69885
-62.972601,31,281.877287
-53.639963,27,282.031215
-61.561088,31,282.218392
-104.299071,66,282.602741
-62.817845,30,282.774239
-68.411743,37,282.995402
-51.922521,25,283.150273
-57.480443,29,283.336497
-100.738623,65,283.722089
-71.000985,34,283.922695
-59.220598,28,284.139132
-63.993173,34,284.359783
-68.543051,33,284.555531
-113.842039,78,285.016684
-70.63674,33,285.224445
-56.446013,28,285.399464
-54.348252,27,285.557287
-51.73798,25,285.708997
-61.628765,31,285.913317
-66.465906,32,286.103657
-62.27074,31,286.290726
-77.916508,43,286.564223
-60.035594,30,286.764073
-46.884224,25,286.919798
-59.385283,30,287.092707
-61.41788,31,287.275028
-108.12444,73,287.715882
-69.006339,34,287.91814
-68.981664,37,288.138135
-74.782439,40,288.375757
-52.82643,26,288.53943
-63.77734,31,288.732783
-95.556846,52,289.056577
-59.954552,29,289.225453
-62.163668,33,289.421461
-59.553222,29,289.594933
-87.950808,49,289.887067
-56.666803,30,290.061075
-49.323303,23,290.19669
-59.614891,29,290.372939
-60.753998,31,290.548596
-86.205235,47,290.814828
-58.028331,27,290.982113
-67.328095,36,291.18975
-51.914681,25,291.331921
-58.372664,31,291.510479
-55.617829,28,291.735483
-53.153138,27,291.907547
-62.299358,35,292.117059
-51.006233,27,292.274907
-63.713618,32,292.484616
-48.806611,26,292.637713
-172.49149,113,293.299239
-60.677208,31,293.485194
-55.608682,28,293.667727
-54.419318,29,293.847958
-52.047672,26,294.000215
-60.471239,29,294.173062
-50.821541,29,294.36557
-117.787082,87,294.881739
-60.056078,30,295.056696
-61.938132,31,295.236058
-56.518828,29,295.461028
-60.00899,34,295.673095
-49.738664,25,295.820783
-63.343127,33,296.019546
-52.389115,28,296.199924
-65.793913,32,296.39688
-64.868542,33,296.594105
-50.435076,30,296.774822
-51.527882,26,296.93999
-65.700059,33,297.142665
-52.886864,25,297.289663
-52.096494,27,297.451169
-61.061707,32,297.658543
-59.97669,33,297.853258
-63.017169,34,298.044183
-61.892811,30,298.217582
-59.794793,29,298.404012
-57.776844,29,298.581429
-62.230474,31,298.7655
-90.002721,68,299.169683
-61.090292,31,299.418394
-77.010435,46,299.688195
-53.868032,29,299.863158
-51.535279,30,300.03629
-53.355776,26,300.188176
-65.592423,32,300.379673
-94.511353,62,300.839847
-58.926013,30,301.02424
-50.472512,27,301.192665
-58.716786,31,301.374473
-51.427329,25,301.515782
-58.50841,30,301.688953
-52.745995,26,301.847483
-65.26681,35,302.055038
-66.286958,33,302.241545
-51.134337,25,302.387461
-53.639555,26,302.543671
-61.415649,32,302.73808
-65.052172,33,302.93231
-53.23687,27,303.094259
-52.247995,25,303.244355
-55.763878,28,303.412984
-55.215572,27,303.566093
-45.662893,22,303.691578
-62.1507,32,303.894996
-65.337758,34,304.090721
-67.012055,34,304.285328
-55.450724,29,304.456496
-62.66882,32,304.66206
-52.108996,27,304.819392
-43.358506,21,304.943456
-75.903562,39,305.182858
-52.63862,25,305.343323
-56.241436,28,305.516145
-42.283382,20,305.637136
-69.914087,36,305.858523
-82.554423,44,306.226577
-63.477928,32,306.429813
-72.921519,36,306.648179
-60.481471,31,306.827801
-62.379943,31,307.022915
-57.615295,29,307.193185
-62.30306,33,307.386685
-56.563325,30,307.561492
-48.595414,23,307.707494
-49.391864,28,307.880945
-55.635282,28,308.048541
-51.035221,28,308.213218
-61.288371,28,308.396991
-62.261277,32,308.587555
-47.514342,25,308.733766
-48.535505,24,308.878289
-52.095941,26,309.039078
-59.315721,31,309.222463
-53.207659,24,309.366102
-48.308781,24,309.507877
-54.526392,30,309.695691
-56.481845,30,309.873168
-59.729808,29,310.04088
-68.104424,37,310.255047
-59.523547,31,310.454547
-57.794976,29,310.632763
-55.364654,28,310.799152
-43.855856,21,310.927777
